time,error_original,error_method1,error_method2,error_method3,error_method4,similarity_top1,similarity_mean,momentum1_magnitude,momentum2_magnitude,momentum3_magnitude,momentum4_magnitude
0,0.048895232392071795,0.2935284851623474,0.19526309006402012,0.08302376584013557,0.048895431088396925,0.9812604514279012,0.9803271281056813,0.2446332528175426,0.14636785771643382,0.03412853347248917,6.626283896559303e-07
1,0.1596697669229053,0.16342442674445437,0.07304736668869563,0.0932947986798227,0.0076464098274156575,0.8847740509648175,0.8809467917496532,0.002627271433725753,0.09010237325635718,0.021115787372813367,0.12571734792218506
2,0.0005150584002912037,0.1571471050401943,0.022388771818804935,0.0024008088169325103,0.10577373594442231,0.9805833591976548,0.9800706730487487,0.24131476941708987,0.06445270399160064,0.014956001625629281,0.11314541551948358
3,0.005105538597324473,0.04025841960518722,0.10047647813284251,0.06807815996048121,0.2017886232331769,0.8858364976007329,0.8804418024264045,0.005982888016906883,0.16379967616116914,0.038296838376688146,0.2276055873640609
4,0.07537854193989847,0.020106329769736787,0.14984197469574898,0.13099323539848234,0.2833247897499728,0.9818294679980467,0.9797147904441456,0.23816570328021247,0.00236545068856804,0.0005842362799487489,0.20484483161737266
5,0.18290222666253614,0.10698880977436508,0.2974405703282783,0.2201076847470436,0.41584613138730425,0.8748513532828751,0.871152901983546,0.0060440165190958975,0.22159033475246043,0.05165381156796357,0.3101318685734041
6,0.30830429073150173,0.1545997493447758,0.38586045505552274,0.31880524196338456,0.5446247479381623,0.9820887719945621,0.9795228670189833,0.23832825843447517,0.05425260922587326,0.01246240671764164,0.27911848450238047
7,0.15644044005923113,0.2289536721190726,0.474825834138061,0.3546341790266459,0.6169214719271658,0.8647973317521875,0.8627536273383901,0.004342911500810921,0.26714852921295723,0.06209029014415537,0.3775427658141138
8,0.14386002066779155,0.17696513614683568,0.45836398437519876,0.3526460616812107,0.6384807031834838,0.9806378523481865,0.976205076939381,0.23775485704207355,0.09748309791564014,0.022455907736146884,0.3397882943751239
9,0.005914229930486662,0.19456122481825366,0.48556410426184915,0.3290897698191066,0.6453013386691832,0.8850776671103372,0.8809752085535868,0.011591959420184927,0.3122605633927314,0.07260226965849197,0.43304868774853156
10,0.04832560082211223,0.08502308125192591,0.40688988539834925,0.2669035446044723,0.6010143322180862,0.9815001484887502,0.9802090561568478,0.2294525160133845,0.13948568568271127,0.03233766896815114,0.3897436268105251
11,0.20361046455879286,0.016614004535125567,0.34383314606858767,0.15598836363505533,0.5159135864192065,0.8681443350333221,0.8630663864128827,0.0163770015520673,0.34711768817339034,0.08089389999099987,0.478945051959899
12,0.15951825238803902,0.08701196907604708,0.26718475987044277,0.09814354210718142,0.4716076824461928,0.9802466779826629,0.9796082685149804,0.22346245178682617,0.17232012818296405,0.04019595808455523,0.43105035647474915
13,0.2963522735600938,0.11106579536733055,0.24466532578175298,0.0313234567484428,0.4272865148107087,0.8493712517733988,0.8397265267372773,0.01817424591269617,0.37188849513478317,0.08688754498757743,0.5168416913024624
14,0.2115662001222188,0.19067221419736036,0.1887429749222524,0.0026472609016462913,0.4036789729539986,0.9789258341538847,0.978115916714837,0.22033254738970828,0.19601769437605326,0.045943136665548286,0.4651573335047438
15,0.017304916177270254,0.09053279090081841,0.2877660421624431,0.05339382049196781,0.47882864219734433,0.8720831926584384,0.8646999658428985,0.02643402145434078,0.3992466026332859,0.09335012956779436,0.5472970122870077
16,0.1183954559562815,0.056656761438467304,0.35848081017442507,0.1358394417233485,0.5650676361384658,0.9849432869513884,0.9824949060155065,0.21509821681699987,0.2684011744130331,0.06274210928959645,0.4925671879066632
17,0.09332726344208146,0.07378781656508471,0.4959608541750625,0.22338787929689594,0.6665632036183218,0.8833685199788951,0.8722750533172781,0.03444769297279366,0.4667334353448996,0.10896741646009245,0.5721888804508327
18,0.09870562679865107,0.07063728054219182,0.5346259026996849,0.2691911057594459,0.7119133967293295,0.9867992768050876,0.982846187879345,0.20728599992045527,0.3301526751311443,0.0770437713660014,0.514969870673937
19,0.00687874730801959,0.14187857107167495,0.6158259672429508,0.29732140798080275,0.7506567774230906,0.8880301689144118,0.8832835920076197,0.04393877493536252,0.526401565913224,0.12283740241854293,0.5930578185714039
