,Model Type,Model Size (MB),Inference Time (ms),Time Std (ms),Peak Memory (MB),GFLOPs,Parameters (M),Throughput (FPS)
efficientnet_b0_pytorch,PyTorch,20.334861755371094,13.079416751861572,53.8006736401493,499.3466796875,0.415145024,5.288548,76.45600862574179
mobilenet_v2_pytorch,PyTorch,13.50054931640625,6.395401954650879,3.7095097396854944,499.3466796875,0.32748672,3.504872,156.3623376749256
resnet50_pytorch,PyTorch,97.69538116455078,8.110175132751465,9.742702075075805,500.14599609375,4.133742592,25.557032,123.30189960530964
mobilenet_v4_pytorch,PyTorch,14.492813110351562,5.868632793426514,2.270463088060544,493.7763671875,0.184773568,2.467936,170.39743926730347
