,Model Type,Model Size (MB),Inference Time (ms),Time Std (ms),Peak Memory (MB),GFLOPs,Parameters (M),Throughput (FPS)
efficientnet_b0_pytorch,PyTorch,20.334861755371094,11.686985492706299,29.683199966867623,499.3466796875,0.415145024,5.288548,85.56526408149368
mobilenet_v2_pytorch,PyTorch,13.50054931640625,6.716940402984619,4.752072714324854,499.3466796875,0.32748672,3.504872,148.8773072269121
resnet50_pytorch,PyTorch,97.69538116455078,7.327301502227783,8.878241531891952,500.14599609375,4.133742592,25.557032,136.4758908441206
mobilenet_v4_pytorch,PyTorch,14.492813110351562,4.88208532333374,1.7512395307943613,493.7763671875,0.184773568,2.467936,204.83050454291288
