,Model Size (MB),Inference Time (ms),Time Std (ms),Peak Memory (MB),GFLOPs,Parameters (M)
shufflenet,8.75433349609375,10.1572847366333,45.77008783832722,174.220703125,0.152708792,2.278604
mobilenetv2,13.50054931640625,5.109457969665527,4.5041408824156335,181.025390625,0.32748672,3.504872
mobilenetv3,21.009536743164062,5.946893692016602,5.344988792348573,178.087890625,0.234838456,5.483032
efficientnet,20.334861755371094,7.4077630043029785,4.6307888867051235,182.556640625,0.385878752,5.246532
resnet50,97.69538116455078,5.893075466156006,6.999134671003229,181.82470703125,4.133742592,25.557032
