time,simulated_error,baseline_error
0,0.3301548875892889,0.3301548875892889
1,0.5990958800488154,0.5990958800488154
2,0.9327464205163074,0.9327464205163074
3,1.0754534833722211,1.0754534833722211
4,0.4160482085225368,1.3882553485358662
5,0.2987348842460593,1.4098863269105384
6,0.08834436748757582,1.7509305878074013
7,0.24386859281544873,1.7893572073359956
8,0.5391768260277067,2.0470009514520084
9,1.938723584885479,2.194692184461996
10,1.9182561494506818,2.33906363150298
11,1.7212622263637152,2.8117932938497376
12,1.6291255694110383,2.9529640825374908
13,1.6390572283255902,3.36541934173026
14,4.89474040795135,3.446940853852079
15,4.725815853620838,3.3418795918386195
16,4.536181861391877,3.4848382344436
17,4.675449315631872,3.4562356117380926
18,4.747347869342553,3.5296450929029017
19,8.664745032930295,3.7909488605322745
20,8.29562412966281,4.173115440017361
21,8.20948007594257,4.313542080584949
22,8.210388659171533,4.401515218538267
23,8.4457554173105,4.19503202371669
24,13.268692161278043,4.665030823379094
25,13.543474869892783,4.698855084473401
26,13.266106791425162,4.970717276693048
27,12.700293405717218,5.761930841533607
28,12.664566205477884,6.044278050862249
29,18.50571866394218,6.186147344518508
30,18.511828814281778,6.392824490430451
31,18.47680215324417,6.552645058341679
32,18.477752599606642,6.785580286806579
33,18.28198222523169,7.079879553936308
34,24.6756593432097,7.5337764902903155
35,24.92374351918911,7.165066568241914
36,24.75224875236642,7.461075808893989
37,24.301029708494074,7.8504340134595205
38,24.30003198405594,8.000085984178952
39,31.497488714155487,8.180133571386984
40,31.32725162835722,8.382939169717575
41,30.800231537569335,8.75487612384876
42,31.003394913838598,8.980212424762932
43,31.07375731823388,8.759762580798471
44,38.994402133916495,9.015778789881505
45,38.78005155611996,9.226458849202029
46,38.71824882066865,9.644177942217524
47,38.49161639864627,9.851455422142221
48,38.410562388796194,10.206814744542557
49,46.22038026801164,10.34377858786451
50,45.91634764941636,10.71595201784469
51,45.58073067269891,10.910704386410178
52,45.66510760371355,10.872179487292785
53,45.813111241516474,11.206474345074948
54,53.952276053036115,11.354787970540709
55,53.86016327013978,11.548413209690175
56,53.55353207882678,11.99949794088756
57,53.394662486225485,12.32566811348013
58,53.344731123783276,12.639831664810586
59,62.2230257131554,12.799555119224785
60,61.85308923268756,13.297895008550478
61,61.59233148017032,13.350138351842036
62,61.31316639875973,13.815326871593102
63,61.08697024760571,14.246897134845328
64,70.02464021131763,14.354694942502082
65,69.8218352094657,14.691605634193426
66,70.15712429394728,14.752225522694879
67,69.9380495705373,14.900186970104798
68,69.8440403757734,15.267845025269438
69,79.27231915693828,15.257508191167457
70,79.23431001965606,15.403938574260085
71,79.18598171740581,15.717481531604735
72,79.26911628352764,15.91868740585224
73,79.11527254022113,16.024117331638774
74,88.26255084237654,16.365441363890152
75,88.04312996152358,16.56484136038866
76,87.75709283146931,16.901713201056193
77,87.58167453518243,17.18088862288493
78,87.5975221350743,17.368950013713867
79,96.89191978572504,17.63784343231864
80,96.82285255331608,17.49008223932098
81,96.72154893553146,17.531455788630524
82,96.40253906822144,17.771727976320758
83,96.59536443410664,18.107428308491553
84,105.9716886317617,18.24896940812529
85,105.90768072218347,18.52594557619306
86,105.68357576395196,18.878644015908776
87,105.84403863934502,19.092992737570118
88,105.7171939469644,19.149213254036816
89,115.5611818651695,19.082998894353267
90,115.61013419202821,19.362216864080935
91,115.3287744624474,19.57279552819157
92,115.44182148288535,19.52561606478229
93,115.30374970420911,19.661720083672794
94,124.92999477797902,19.942924844115527
95,124.66587828217455,20.319714895345776
96,124.69895452652533,20.24088117108737
97,124.29706733750722,20.50755042299528
98,124.27218883029725,20.520016038095974
99,132.9995665023783,21.01231847954416
