-5.2011,-5.9628,-1329.9,5.9628,-5.2011,-4536.2,0,0
0.14272,-0.084343,-62.199,0.084343,0.14272,796.22,0,0
0.11547,0.0030326,58.351,-0.0030326,0.11547,906.64,0,0
0.12625,-0.15822,20.762,0.15822,0.12625,793.47,0,0
0.086801,0.044284,110.02,-0.044284,0.086801,863.49,0,0
0.12209,0.031658,93.764,-0.031658,0.12209,932.8,0,0
0.10899,-0.22928,11.399,0.22928,0.10899,704.19,0,0
0.10366,0.15536,-8.8796,-0.15536,0.10366,884.21,0,0
0.081473,-0.14012,11.522,0.14012,0.081473,874,0,0
0.12779,-0.01064,108.95,0.01064,0.12779,778.66,0,0
0.12448,-0.059423,22.72,0.059423,0.12448,849.69,0,0
0.19148,-0.11337,-149.96,0.11337,0.19148,883.25,0,0
0.17418,-0.066745,12.058,0.066745,0.17418,918.85,0,0
0.10101,-0.10705,-5.022,0.10705,0.10101,850.96,0,0
0.18164,-0.043818,-142.67,0.043818,0.18164,821.27,0,0
0.19483,0.046112,220.84,-0.046112,0.19483,896.28,0,0
0.16237,-0.1146,9.3711,0.1146,0.16237,824.13,0,0
